hyp,src,label,hyp_normalized,src_normalized,hyp_sentences,src_sentences,hyp_tokens,src_tokens
"You're not alone, claire- -","You're not alone, Claire.",Not Hallucination,you are not alone claire ,you are not alone claire,['you are not alone claire'],['you are not alone claire'],"[['you', 'are', 'not', 'alone', 'claire']]","[['you', 'are', 'not', 'alone', 'claire']]"
"Who told you to throw acid at Vargas, hmmm?","Who told you to throw acid at Vargas, hmm?",Not Hallucination,who told you to throw acid at vargas hmmm,who told you to throw acid at vargas hmm,['who told you to throw acid at vargas hmmm'],['who told you to throw acid at vargas hmm'],"[['who', 'told', 'you', 'to', 'throw', 'acid', 'at', 'vargas', 'hmmm']]","[['who', 'told', 'you', 'to', 'throw', 'acid', 'at', 'vargas', 'hmm']]"
♪ Where the pure angel merges with the antic sphinx,Where the pure angel merges with the antic Sphinx,Not Hallucination, where the pure angel merges with the antic sphinx,where the pure angel merges with the antic sphinx,[' where the pure angel merges with the antic sphinx'],['where the pure angel merges with the antic sphinx'],"[['where', 'the', 'pure', 'angel', 'merges', 'with', 'the', 'antic', 'sphinx']]","[['where', 'the', 'pure', 'angel', 'merges', 'with', 'the', 'antic', 'sphinx']]"
Where is it written what is it I'm meant to be?,Where is it written what is it I'm meant to be,Not Hallucination,where is it written what is it i am meant to be,where is it written what is it i am meant to be,['where is it written what is it i am meant to be'],['where is it written what is it i am meant to be'],"[['where', 'is', 'it', 'written', 'what', 'is', 'it', 'i', 'am', 'meant', 'to', 'be']]","[['where', 'is', 'it', 'written', 'what', 'is', 'it', 'i', 'am', 'meant', 'to', 'be']]"
We'll find the skipper and then we'll go home.,We'll find the skipper and then we'll go home.,Not Hallucination,we will find the skipper and then we will go home,we will find the skipper and then we will go home,['we will find the skipper and then we will go home'],['we will find the skipper and then we will go home'],"[['we', 'will', 'find', 'the', 'skipper', 'and', 'then', 'we', 'will', 'go', 'home']]","[['we', 'will', 'find', 'the', 'skipper', 'and', 'then', 'we', 'will', 'go', 'home']]"
Seymour's Darling is the third... and little Arnie's moving fast on the out-of-towner.,Seymour's Darling is third... and little Arnie moving fast on the outside.,Hallucination,seymours darling is the third and little arnies moving fast on the outoftowner,seymours darling is third and little arnie moving fast on the outside,['seymours darling is the third and little arnies moving fast on the outoftowner'],['seymours darling is third and little arnie moving fast on the outside'],"[['seymours', 'darling', 'is', 'the', 'third', 'and', 'little', 'arnies', 'moving', 'fast', 'on', 'the', 'outoftowner']]","[['seymours', 'darling', 'is', 'third', 'and', 'little', 'arnie', 'moving', 'fast', 'on', 'the', 'outside']]"
"- Scud, do you read me, please?","Scud, do you read me?",Hallucination, scud do you read me please,scud do you read me,[' scud do you read me please'],['scud do you read me'],"[['scud', 'do', 'you', 'read', 'me', 'please']]","[['scud', 'do', 'you', 'read', 'me']]"
Jumby now wants to be born,Jumby now wants to be born.,Not Hallucination,jumby now wants to be born,jumby now wants to be born,['jumby now wants to be born'],['jumby now wants to be born'],"[['jumby', 'now', 'wants', 'to', 'be', 'born']]","[['jumby', 'now', 'wants', 'to', 'be', 'born']]"
It was a long and difficult delivery.,It was a difficult and long delivery.,Not Hallucination,it was a long and difficult delivery,it was a difficult and long delivery,['it was a long and difficult delivery'],['it was a difficult and long delivery'],"[['it', 'was', 'a', 'long', 'and', 'difficult', 'delivery']]","[['it', 'was', 'a', 'difficult', 'and', 'long', 'delivery']]"
¿Mabel's a slave?,Is Mabel a slave?,Hallucination,mabels a slave,is mabel a slave,['mabels a slave'],['is mabel a slave'],"[['mabels', 'a', 'slave']]","[['is', 'mabel', 'a', 'slave']]"
I like to be beautiful everydays.,I like to be beautiful everyday.,Hallucination,i like to be beautiful everydays,i like to be beautiful everyday,['i like to be beautiful everydays'],['i like to be beautiful everyday'],"[['i', 'like', 'to', 'be', 'beautiful', 'everydays']]","[['i', 'like', 'to', 'be', 'beautiful', 'everyday']]"
"♪ I got the joy, joy, joy, joy Down in my heart ♪","I got the joy, joy, joy, joy Down in my heart",Not Hallucination, i got the joy joy joy joy down in my heart ,i got the joy joy joy joy down in my heart,[' i got the joy joy joy joy down in my heart'],['i got the joy joy joy joy down in my heart'],"[['i', 'got', 'the', 'joy', 'joy', 'joy', 'joy', 'down', 'in', 'my', 'heart']]","[['i', 'got', 'the', 'joy', 'joy', 'joy', 'joy', 'down', 'in', 'my', 'heart']]"
Homicide investigators have told me that they found a bottle of pills in his lap.,Homicide investigators have told me that they did find a bottle of pills in his lap.,Not Hallucination,homicide investigators have told me that they found a bottle of pills in his lap,homicide investigators have told me that they did find a bottle of pills in his lap,['homicide investigators have told me that they found a bottle of pills in his lap'],['homicide investigators have told me that they did find a bottle of pills in his lap'],"[['homicide', 'investigators', 'have', 'told', 'me', 'that', 'they', 'found', 'a', 'bottle', 'of', 'pills', 'in', 'his', 'lap']]","[['homicide', 'investigators', 'have', 'told', 'me', 'that', 'they', 'did', 'find', 'a', 'bottle', 'of', 'pills', 'in', 'his', 'lap']]"
"Oh, he's an In-Valid, sir.","He's an In-Valid, sir.",Hallucination,oh he is an invalid sir,he is an invalid sir,['oh he is an invalid sir'],['he is an invalid sir'],"[['oh', 'he', 'is', 'an', 'invalid', 'sir']]","[['he', 'is', 'an', 'invalid', 'sir']]"
Hello Mr. Barthes.,Hello Mr. Barthes.,Not Hallucination,hello mr barthes,hello mr barthes,['hello mr barthes'],['hello mr barthes'],"[['hello', 'mr', 'barthes']]","[['hello', 'mr', 'barthes']]"
HARRY ⁇ .,HARRY Imperio.,Hallucination,harry  ,harry imperio,['harry'],['harry imperio'],[['harry']],"[['harry', 'imperio']]"
"Half that speed, half speed.",Half that speed.,Hallucination,half that speed half speed,half that speed,['half that speed half speed'],['half that speed'],"[['half', 'that', 'speed', 'half', 'speed']]","[['half', 'that', 'speed']]"
