,hyp,tgt,src,ref,task,model,hyp_normalized,src_normalized,hyp_sentences,src_sentences,hyp_tokens,src_tokens,hyp_lemmas,src_lemmas,cosine_similarity,semantic_similarity
0,"You're not alone, claire- -",,"You're not alone, Claire.",src,PG,,you are not alone claire ,you are not alone claire,['you are not alone claire'],['you are not alone claire'],"[['you', 'are', 'not', 'alone', 'claire']]","[['you', 'are', 'not', 'alone', 'claire']]","['you', 'be', 'not', 'alone', 'claire']","['you', 'be', 'not', 'alone', 'claire']",1.0,1.000000238418579
1,"Who told you to throw acid at Vargas, hmmm?",,"Who told you to throw acid at Vargas, hmm?",src,PG,,who told you to throw acid at vargas hmmm,who told you to throw acid at vargas hmm,['who told you to throw acid at vargas hmmm'],['who told you to throw acid at vargas hmm'],"[['who', 'told', 'you', 'to', 'throw', 'acid', 'at', 'vargas', 'hmmm']]","[['who', 'told', 'you', 'to', 'throw', 'acid', 'at', 'vargas', 'hmm']]","['who', 'tell', 'you', 'to', 'throw', 'acid', 'at', 'vargas', 'hmm']","['who', 'tell', 'you', 'to', 'throw', 'acid', 'at', 'vargas', 'hmm']",1.0000000000000002,0.9999998807907104
2,♪ Where the pure angel merges with the antic sphinx,,Where the pure angel merges with the antic Sphinx,src,PG,, where the pure angel merges with the antic sphinx,where the pure angel merges with the antic sphinx,[' where the pure angel merges with the antic sphinx'],['where the pure angel merges with the antic sphinx'],"[['where', 'the', 'pure', 'angel', 'merges', 'with', 'the', 'antic', 'sphinx']]","[['where', 'the', 'pure', 'angel', 'merges', 'with', 'the', 'antic', 'sphinx']]","['where', 'the', 'pure', 'angel', 'merge', 'with', 'the', 'antic', 'sphinx']","['where', 'the', 'pure', 'angel', 'merge', 'with', 'the', 'antic', 'sphinx']",1.0,1.0000001192092896
3,Where is it written what is it I'm meant to be?,,Where is it written what is it I'm meant to be,src,PG,,where is it written what is it i am meant to be,where is it written what is it i am meant to be,['where is it written what is it i am meant to be'],['where is it written what is it i am meant to be'],"[['where', 'is', 'it', 'written', 'what', 'is', 'it', 'i', 'am', 'meant', 'to', 'be']]","[['where', 'is', 'it', 'written', 'what', 'is', 'it', 'i', 'am', 'meant', 'to', 'be']]","['where', 'be', 'it', 'write', 'what', 'be', 'it', 'I', 'be', 'mean', 'to', 'be']","['where', 'be', 'it', 'write', 'what', 'be', 'it', 'I', 'be', 'mean', 'to', 'be']",1.0,0.9999999403953552
4,We'll find the skipper and then we'll go home.,,We'll find the skipper and then we'll go home.,src,PG,,we will find the skipper and then we will go home,we will find the skipper and then we will go home,['we will find the skipper and then we will go home'],['we will find the skipper and then we will go home'],"[['we', 'will', 'find', 'the', 'skipper', 'and', 'then', 'we', 'will', 'go', 'home']]","[['we', 'will', 'find', 'the', 'skipper', 'and', 'then', 'we', 'will', 'go', 'home']]","['we', 'will', 'find', 'the', 'skipper', 'and', 'then', 'we', 'will', 'go', 'home']","['we', 'will', 'find', 'the', 'skipper', 'and', 'then', 'we', 'will', 'go', 'home']",1.0000000000000002,1.0000001192092896
5,Seymour's Darling is the third... and little Arnie's moving fast on the out-of-towner.,,Seymour's Darling is third... and little Arnie moving fast on the outside.,src,PG,,seymours darling is the third and little arnies moving fast on the outoftowner,seymours darling is third and little arnie moving fast on the outside,['seymours darling is the third and little arnies moving fast on the outoftowner'],['seymours darling is third and little arnie moving fast on the outside'],"[['seymours', 'darling', 'is', 'the', 'third', 'and', 'little', 'arnies', 'moving', 'fast', 'on', 'the', 'outoftowner']]","[['seymours', 'darling', 'is', 'third', 'and', 'little', 'arnie', 'moving', 'fast', 'on', 'the', 'outside']]","['seymour', 'darling', 'be', 'the', 'third', 'and', 'little', 'arny', 'move', 'fast', 'on', 'the', 'outoftowner']","['seymour', 'darling', 'be', 'third', 'and', 'little', 'arnie', 'move', 'fast', 'on', 'the', 'outside']",0.798683166176321,0.8962768316268921
6,"- Scud, do you read me, please?",,"Scud, do you read me?",src,PG,, scud do you read me please,scud do you read me,[' scud do you read me please'],['scud do you read me'],"[['scud', 'do', 'you', 'read', 'me', 'please']]","[['scud', 'do', 'you', 'read', 'me']]","['scud', 'do', 'you', 'read', 'I', 'please']","['scud', 'do', 'you', 'read', 'I']",0.9003091107685717,0.9025906920433044
7,Jumby now wants to be born,,Jumby now wants to be born.,src,PG,,jumby now wants to be born,jumby now wants to be born,['jumby now wants to be born'],['jumby now wants to be born'],"[['jumby', 'now', 'wants', 'to', 'be', 'born']]","[['jumby', 'now', 'wants', 'to', 'be', 'born']]","['jumby', 'now', 'want', 'to', 'be', 'bear']","['jumby', 'now', 'want', 'to', 'be', 'bear']",1.0000000000000002,1.0
8,It was a long and difficult delivery.,,It was a difficult and long delivery.,src,PG,,it was a long and difficult delivery,it was a difficult and long delivery,['it was a long and difficult delivery'],['it was a difficult and long delivery'],"[['it', 'was', 'a', 'long', 'and', 'difficult', 'delivery']]","[['it', 'was', 'a', 'difficult', 'and', 'long', 'delivery']]","['it', 'be', 'a', 'long', 'and', 'difficult', 'delivery']","['it', 'be', 'a', 'difficult', 'and', 'long', 'delivery']",1.0,0.9882837533950806
9,¿Mabel's a slave?,,Is Mabel a slave?,src,PG,,mabels a slave,is mabel a slave,['mabels a slave'],['is mabel a slave'],"[['mabels', 'a', 'slave']]","[['is', 'mabel', 'a', 'slave']]","['mabel', 'a', 'slave']","['be', 'mabel', 'a', 'slave']",0.989234053279876,0.8972243070602417
10,I like to be beautiful everydays.,,I like to be beautiful everyday.,src,PG,,i like to be beautiful everydays,i like to be beautiful everyday,['i like to be beautiful everydays'],['i like to be beautiful everyday'],"[['i', 'like', 'to', 'be', 'beautiful', 'everydays']]","[['i', 'like', 'to', 'be', 'beautiful', 'everyday']]","['I', 'like', 'to', 'be', 'beautiful', 'everyday']","['I', 'like', 'to', 'be', 'beautiful', 'everyday']",1.0,0.9999998807907104
11,"♪ I got the joy, joy, joy, joy Down in my heart ♪",,"I got the joy, joy, joy, joy Down in my heart",src,PG,, i got the joy joy joy joy down in my heart ,i got the joy joy joy joy down in my heart,[' i got the joy joy joy joy down in my heart'],['i got the joy joy joy joy down in my heart'],"[['i', 'got', 'the', 'joy', 'joy', 'joy', 'joy', 'down', 'in', 'my', 'heart']]","[['i', 'got', 'the', 'joy', 'joy', 'joy', 'joy', 'down', 'in', 'my', 'heart']]","['I', 'get', 'the', 'joy', 'joy', 'joy', 'joy', 'down', 'in', 'my', 'heart']","['I', 'get', 'the', 'joy', 'joy', 'joy', 'joy', 'down', 'in', 'my', 'heart']",1.0,1.0000001192092896
12,Homicide investigators have told me that they found a bottle of pills in his lap.,,Homicide investigators have told me that they did find a bottle of pills in his lap.,src,PG,,homicide investigators have told me that they found a bottle of pills in his lap,homicide investigators have told me that they did find a bottle of pills in his lap,['homicide investigators have told me that they found a bottle of pills in his lap'],['homicide investigators have told me that they did find a bottle of pills in his lap'],"[['homicide', 'investigators', 'have', 'told', 'me', 'that', 'they', 'found', 'a', 'bottle', 'of', 'pills', 'in', 'his', 'lap']]","[['homicide', 'investigators', 'have', 'told', 'me', 'that', 'they', 'did', 'find', 'a', 'bottle', 'of', 'pills', 'in', 'his', 'lap']]","['homicide', 'investigator', 'have', 'tell', 'I', 'that', 'they', 'find', 'a', 'bottle', 'of', 'pill', 'in', 'his', 'lap']","['homicide', 'investigator', 'have', 'tell', 'I', 'that', 'they', 'do', 'find', 'a', 'bottle', 'of', 'pill', 'in', 'his', 'lap']",0.9917168470406227,0.9987376928329468
13,"Oh, he's an In-Valid, sir.",,"He's an In-Valid, sir.",src,PG,,oh he is an invalid sir,he is an invalid sir,['oh he is an invalid sir'],['he is an invalid sir'],"[['oh', 'he', 'is', 'an', 'invalid', 'sir']]","[['he', 'is', 'an', 'invalid', 'sir']]","['oh', 'he', 'be', 'a', 'invalid', 'sir']","['he', 'be', 'a', 'invalid', 'sir']",0.8867705922654074,0.8971943855285645
14,Hello Mr. Barthes.,,Hello Mr. Barthes.,src,PG,,hello mr barthes,hello mr barthes,['hello mr barthes'],['hello mr barthes'],"[['hello', 'mr', 'barthes']]","[['hello', 'mr', 'barthes']]","['hello', 'mr', 'barthes']","['hello', 'mr', 'barthes']",1.0000000000000002,0.9999998211860657
15,HARRY ⁇ .,,HARRY Imperio.,src,PG,,harry  ,harry imperio,['harry'],['harry imperio'],[['harry']],"[['harry', 'imperio']]",['harry'],"['harry', 'imperio']",1.0,0.5919857025146484
16,"Half that speed, half speed.",,Half that speed.,src,PG,,half that speed half speed,half that speed,['half that speed half speed'],['half that speed'],"[['half', 'that', 'speed', 'half', 'speed']]","[['half', 'that', 'speed']]","['half', 'that', 'speed', 'half', 'speed']","['half', 'that', 'speed']",0.9876061282399115,0.9678289890289307
17,"It's Frankfurt, Germany.",,"Frankfurt, Germany.",src,PG,,it is frankfurt germany,frankfurt germany,['it is frankfurt germany'],['frankfurt germany'],"[['it', 'is', 'frankfurt', 'germany']]","[['frankfurt', 'germany']]","['it', 'be', 'frankfurt', 'germany']","['frankfurt', 'germany']",0.9588949962763962,0.8341100215911865
18,Enemies are matching speed.,,Enemy is matching velocity.,src,PG,,enemies are matching speed,enemy is matching velocity,['enemies are matching speed'],['enemy is matching velocity'],"[['enemies', 'are', 'matching', 'speed']]","[['enemy', 'is', 'matching', 'velocity']]","['enemy', 'be', 'match', 'speed']","['enemy', 'be', 'match', 'velocity']",0.8223726830839024,0.9804888367652893
19,Call the john.,,Call John.,src,PG,,call the john,call john,['call the john'],['call john'],"[['call', 'the', 'john']]","[['call', 'john']]","['call', 'the', 'john']","['call', 'john']",0.9333877375859625,0.9648483991622925
20,Bernadette's asking for a prenuptial.,,Bernadette wants a prenup.,src,PG,,bernadettes asking for a prenuptial,bernadette wants a prenup,['bernadettes asking for a prenuptial'],['bernadette wants a prenup'],"[['bernadettes', 'asking', 'for', 'a', 'prenuptial']]","[['bernadette', 'wants', 'a', 'prenup']]","['bernadette', 'ask', 'for', 'a', 'prenuptial']","['bernadette', 'want', 'a', 'prenup']",0.5429934245656717,0.8348369598388672
21,And yet I see no children exiting from the vehicle.,,and yet i see no children emerging from the vehicle.,src,PG,,and yet i see no children exiting from the vehicle,and yet i see no children emerging from the vehicle,['and yet i see no children exiting from the vehicle'],['and yet i see no children emerging from the vehicle'],"[['and', 'yet', 'i', 'see', 'no', 'children', 'exiting', 'from', 'the', 'vehicle']]","[['and', 'yet', 'i', 'see', 'no', 'children', 'emerging', 'from', 'the', 'vehicle']]","['and', 'yet', 'I', 'see', 'no', 'child', 'exite', 'from', 'the', 'vehicle']","['and', 'yet', 'I', 'see', 'no', 'child', 'emerge', 'from', 'the', 'vehicle']",0.8896238731861336,0.9639626145362854
22,I wasn't advanced to ranger.,,I was not advanced to Ranger.,src,PG,,i was not advanced to ranger,i was not advanced to ranger,['i was not advanced to ranger'],['i was not advanced to ranger'],"[['i', 'was', 'not', 'advanced', 'to', 'ranger']]","[['i', 'was', 'not', 'advanced', 'to', 'ranger']]","['I', 'be', 'not', 'advanced', 'to', 'ranger']","['I', 'be', 'not', 'advanced', 'to', 'ranger']",1.0,1.0
23,It's time to take a breather.,,It's time to breathe.,src,PG,,it is time to take a breather,it is time to breathe,['it is time to take a breather'],['it is time to breathe'],"[['it', 'is', 'time', 'to', 'take', 'a', 'breather']]","[['it', 'is', 'time', 'to', 'breathe']]","['it', 'be', 'time', 'to', 'take', 'a', 'breather']","['it', 'be', 'time', 'to', 'breathe']",0.5520871152136693,0.9661378860473633
24,I'm not leaving here until I have my thousand dollars.,,I'm not leaving here till I have my thousand dollars.,src,PG,,i am not leaving here until i have my thousand dollars,i am not leaving here till i have my thousand dollars,['i am not leaving here until i have my thousand dollars'],['i am not leaving here till i have my thousand dollars'],"[['i', 'am', 'not', 'leaving', 'here', 'until', 'i', 'have', 'my', 'thousand', 'dollars']]","[['i', 'am', 'not', 'leaving', 'here', 'till', 'i', 'have', 'my', 'thousand', 'dollars']]","['I', 'be', 'not', 'leave', 'here', 'until', 'I', 'have', 'my', 'thousand', 'dollar']","['I', 'be', 'not', 'leave', 'here', 'till', 'I', 'have', 'my', 'thousand', 'dollar']",0.7584639995153305,0.9970457553863525
25,B-braga.,,Braga.,src,PG,,bbraga,braga,['bbraga'],['braga'],[['bbraga']],[['braga']],['bbraga'],['braga'],0.0,0.7506001591682434
26,"Who's EIIise, huh?",,Who's Elise?,src,PG,,who is eiiise huh,who is elise,['who is eiiise huh'],['who is elise'],"[['who', 'is', 'eiiise', 'huh']]","[['who', 'is', 'elise']]","['who', 'be', 'eiiise', 'huh']","['who', 'be', 'elise']",0.4594034055488,0.8561778664588928
