hyp,src,label,p(Hallucination),hyp_normalized,src_normalized,hyp_sentences,src_sentences,hyp_tokens,src_tokens,hyp_lemmas,src_lemmas
"You're not alone, claire- -","You're not alone, Claire.",Not Hallucination,0.0,you are not alone claire ,you are not alone claire,['you are not alone claire'],['you are not alone claire'],"[['you', 'are', 'not', 'alone', 'claire']]","[['you', 'are', 'not', 'alone', 'claire']]","['you', 'be', 'not', 'alone', 'Claire']","['you', 'be', 'not', 'alone', 'Claire']"
"Who told you to throw acid at Vargas, hmmm?","Who told you to throw acid at Vargas, hmm?",Not Hallucination,0.0,who told you to throw acid at vargas hmmm,who told you to throw acid at vargas hmm,['who told you to throw acid at vargas hmmm'],['who told you to throw acid at vargas hmm'],"[['who', 'told', 'you', 'to', 'throw', 'acid', 'at', 'vargas', 'hmmm']]","[['who', 'told', 'you', 'to', 'throw', 'acid', 'at', 'vargas', 'hmm']]","['who', 'tell', 'you', 'to', 'throw', 'acid', 'at', 'vargas', 'hmm']","['who', 'tell', 'you', 'to', 'throw', 'acid', 'at', 'varga', 'hmm']"
♪ Where the pure angel merges with the antic sphinx,Where the pure angel merges with the antic Sphinx,Not Hallucination,0.0, where the pure angel merges with the antic sphinx,where the pure angel merges with the antic sphinx,[' where the pure angel merges with the antic sphinx'],['where the pure angel merges with the antic sphinx'],"[['where', 'the', 'pure', 'angel', 'merges', 'with', 'the', 'antic', 'sphinx']]","[['where', 'the', 'pure', 'angel', 'merges', 'with', 'the', 'antic', 'sphinx']]","['where', 'the', 'pure', 'angel', 'merge', 'with', 'the', 'antic', 'sphinx']","['where', 'the', 'pure', 'angel', 'merge', 'with', 'the', 'antic', 'sphinx']"
Where is it written what is it I'm meant to be?,Where is it written what is it I'm meant to be,Not Hallucination,0.0,where is it written what is it i am meant to be,where is it written what is it i am meant to be,['where is it written what is it i am meant to be'],['where is it written what is it i am meant to be'],"[['where', 'is', 'it', 'written', 'what', 'is', 'it', 'i', 'am', 'meant', 'to', 'be']]","[['where', 'is', 'it', 'written', 'what', 'is', 'it', 'i', 'am', 'meant', 'to', 'be']]","['where', 'be', 'it', 'write', 'what', 'be', 'it', 'I', 'be', 'mean', 'to', 'be']","['where', 'be', 'it', 'write', 'what', 'be', 'it', 'I', 'be', 'mean', 'to', 'be']"
We'll find the skipper and then we'll go home.,We'll find the skipper and then we'll go home.,Not Hallucination,0.0,we will find the skipper and then we will go home,we will find the skipper and then we will go home,['we will find the skipper and then we will go home'],['we will find the skipper and then we will go home'],"[['we', 'will', 'find', 'the', 'skipper', 'and', 'then', 'we', 'will', 'go', 'home']]","[['we', 'will', 'find', 'the', 'skipper', 'and', 'then', 'we', 'will', 'go', 'home']]","['we', 'will', 'find', 'the', 'skipper', 'and', 'then', 'we', 'will', 'go', 'home']","['we', 'will', 'find', 'the', 'skipper', 'and', 'then', 'we', 'will', 'go', 'home']"
Seymour's Darling is the third... and little Arnie's moving fast on the out-of-towner.,Seymour's Darling is third... and little Arnie moving fast on the outside.,Hallucination,1.0,seymours darling is the third and little arnies moving fast on the outoftowner,seymours darling is third and little arnie moving fast on the outside,['seymours darling is the third and little arnies moving fast on the outoftowner'],['seymours darling is third and little arnie moving fast on the outside'],"[['seymours', 'darling', 'is', 'the', 'third', 'and', 'little', 'arnies', 'moving', 'fast', 'on', 'the', 'outoftowner']]","[['seymours', 'darling', 'is', 'third', 'and', 'little', 'arnie', 'moving', 'fast', 'on', 'the', 'outside']]","['seymour', 'darling', 'be', 'the', 'third', 'and', 'little', 'arny', 'move', 'fast', 'on', 'the', 'outoftowner']","['seymour', 'darling', 'be', 'third', 'and', 'little', 'arnie', 'move', 'fast', 'on', 'the', 'outside']"
"- Scud, do you read me, please?","Scud, do you read me?",Hallucination,1.0, scud do you read me please,scud do you read me,[' scud do you read me please'],['scud do you read me'],"[['scud', 'do', 'you', 'read', 'me', 'please']]","[['scud', 'do', 'you', 'read', 'me']]","['scud', 'do', 'you', 'read', 'I', 'please']","['scud', 'do', 'you', 'read', 'I']"
Jumby now wants to be born,Jumby now wants to be born.,Not Hallucination,0.0,jumby now wants to be born,jumby now wants to be born,['jumby now wants to be born'],['jumby now wants to be born'],"[['jumby', 'now', 'wants', 'to', 'be', 'born']]","[['jumby', 'now', 'wants', 'to', 'be', 'born']]","['jumby', 'now', 'want', 'to', 'be', 'bear']","['jumby', 'now', 'want', 'to', 'be', 'bear']"
It was a long and difficult delivery.,It was a difficult and long delivery.,Not Hallucination,0.0,it was a long and difficult delivery,it was a difficult and long delivery,['it was a long and difficult delivery'],['it was a difficult and long delivery'],"[['it', 'was', 'a', 'long', 'and', 'difficult', 'delivery']]","[['it', 'was', 'a', 'difficult', 'and', 'long', 'delivery']]","['it', 'be', 'a', 'long', 'and', 'difficult', 'delivery']","['it', 'be', 'a', 'difficult', 'and', 'long', 'delivery']"
¿Mabel's a slave?,Is Mabel a slave?,Hallucination,1.0,mabels a slave,is mabel a slave,['mabels a slave'],['is mabel a slave'],"[['mabels', 'a', 'slave']]","[['is', 'mabel', 'a', 'slave']]","['mabel', 'a', 'slave']","['be', 'mabel', 'a', 'slave']"
I like to be beautiful everydays.,I like to be beautiful everyday.,Hallucination,1.0,i like to be beautiful everydays,i like to be beautiful everyday,['i like to be beautiful everydays'],['i like to be beautiful everyday'],"[['i', 'like', 'to', 'be', 'beautiful', 'everydays']]","[['i', 'like', 'to', 'be', 'beautiful', 'everyday']]","['I', 'like', 'to', 'be', 'beautiful', 'everydays']","['I', 'like', 'to', 'be', 'beautiful', 'everyday']"
"♪ I got the joy, joy, joy, joy Down in my heart ♪","I got the joy, joy, joy, joy Down in my heart",Not Hallucination,0.0, i got the joy joy joy joy down in my heart ,i got the joy joy joy joy down in my heart,[' i got the joy joy joy joy down in my heart'],['i got the joy joy joy joy down in my heart'],"[['i', 'got', 'the', 'joy', 'joy', 'joy', 'joy', 'down', 'in', 'my', 'heart']]","[['i', 'got', 'the', 'joy', 'joy', 'joy', 'joy', 'down', 'in', 'my', 'heart']]","['I', 'get', 'the', 'joy', 'joy', 'joy', 'joy', 'down', 'in', 'my', 'heart']","['I', 'get', 'the', 'joy', 'joy', 'joy', 'joy', 'down', 'in', 'my', 'heart']"
Homicide investigators have told me that they found a bottle of pills in his lap.,Homicide investigators have told me that they did find a bottle of pills in his lap.,Not Hallucination,0.0,homicide investigators have told me that they found a bottle of pills in his lap,homicide investigators have told me that they did find a bottle of pills in his lap,['homicide investigators have told me that they found a bottle of pills in his lap'],['homicide investigators have told me that they did find a bottle of pills in his lap'],"[['homicide', 'investigators', 'have', 'told', 'me', 'that', 'they', 'found', 'a', 'bottle', 'of', 'pills', 'in', 'his', 'lap']]","[['homicide', 'investigators', 'have', 'told', 'me', 'that', 'they', 'did', 'find', 'a', 'bottle', 'of', 'pills', 'in', 'his', 'lap']]","['homicide', 'investigator', 'have', 'tell', 'I', 'that', 'they', 'find', 'a', 'bottle', 'of', 'pill', 'in', 'his', 'lap']","['homicide', 'investigator', 'have', 'tell', 'I', 'that', 'they', 'do', 'find', 'a', 'bottle', 'of', 'pill', 'in', 'his', 'lap']"
"Oh, he's an In-Valid, sir.","He's an In-Valid, sir.",Hallucination,1.0,oh he is an invalid sir,he is an invalid sir,['oh he is an invalid sir'],['he is an invalid sir'],"[['oh', 'he', 'is', 'an', 'invalid', 'sir']]","[['he', 'is', 'an', 'invalid', 'sir']]","['oh', 'he', 'be', 'a', 'invalid', 'sir']","['he', 'be', 'a', 'invalid', 'sir']"
Hello Mr. Barthes.,Hello Mr. Barthes.,Not Hallucination,0.0,hello mr barthes,hello mr barthes,['hello mr barthes'],['hello mr barthes'],"[['hello', 'mr', 'barthes']]","[['hello', 'mr', 'barthes']]","['hello', 'mr', 'barthes']","['hello', 'mr', 'barthes']"
HARRY ⁇ .,HARRY Imperio.,Hallucination,1.0,harry  ,harry imperio,['harry'],['harry imperio'],[['harry']],"[['harry', 'imperio']]",['harry'],"['harry', 'imperio']"
"Half that speed, half speed.",Half that speed.,Hallucination,1.0,half that speed half speed,half that speed,['half that speed half speed'],['half that speed'],"[['half', 'that', 'speed', 'half', 'speed']]","[['half', 'that', 'speed']]","['half', 'that', 'speed', 'half', 'speed']","['half', 'that', 'speed']"
"It's Frankfurt, Germany.","Frankfurt, Germany.",Hallucination,1.0,it is frankfurt germany,frankfurt germany,['it is frankfurt germany'],['frankfurt germany'],"[['it', 'is', 'frankfurt', 'germany']]","[['frankfurt', 'germany']]","['it', 'be', 'frankfurt', 'Germany']","['frankfurt', 'Germany']"
Enemies are matching speed.,Enemy is matching velocity.,Hallucination,1.0,enemies are matching speed,enemy is matching velocity,['enemies are matching speed'],['enemy is matching velocity'],"[['enemies', 'are', 'matching', 'speed']]","[['enemy', 'is', 'matching', 'velocity']]","['enemy', 'be', 'match', 'speed']","['enemy', 'be', 'match', 'velocity']"
Call the john.,Call John.,Hallucination,1.0,call the john,call john,['call the john'],['call john'],"[['call', 'the', 'john']]","[['call', 'john']]","['call', 'the', 'john']","['call', 'john']"
Bernadette's asking for a prenuptial.,Bernadette wants a prenup.,Hallucination,1.0,bernadettes asking for a prenuptial,bernadette wants a prenup,['bernadettes asking for a prenuptial'],['bernadette wants a prenup'],"[['bernadettes', 'asking', 'for', 'a', 'prenuptial']]","[['bernadette', 'wants', 'a', 'prenup']]","['bernadette', 'ask', 'for', 'a', 'prenuptial']","['bernadette', 'want', 'a', 'prenup']"
And yet I see no children exiting from the vehicle.,and yet i see no children emerging from the vehicle.,Not Hallucination,0.0,and yet i see no children exiting from the vehicle,and yet i see no children emerging from the vehicle,['and yet i see no children exiting from the vehicle'],['and yet i see no children emerging from the vehicle'],"[['and', 'yet', 'i', 'see', 'no', 'children', 'exiting', 'from', 'the', 'vehicle']]","[['and', 'yet', 'i', 'see', 'no', 'children', 'emerging', 'from', 'the', 'vehicle']]","['and', 'yet', 'I', 'see', 'no', 'child', 'exit', 'from', 'the', 'vehicle']","['and', 'yet', 'I', 'see', 'no', 'child', 'emerge', 'from', 'the', 'vehicle']"
I wasn't advanced to ranger.,I was not advanced to Ranger.,Not Hallucination,0.0,i was not advanced to ranger,i was not advanced to ranger,['i was not advanced to ranger'],['i was not advanced to ranger'],"[['i', 'was', 'not', 'advanced', 'to', 'ranger']]","[['i', 'was', 'not', 'advanced', 'to', 'ranger']]","['I', 'be', 'not', 'advance', 'to', 'ranger']","['I', 'be', 'not', 'advance', 'to', 'ranger']"
It's time to take a breather.,It's time to breathe.,Hallucination,1.0,it is time to take a breather,it is time to breathe,['it is time to take a breather'],['it is time to breathe'],"[['it', 'is', 'time', 'to', 'take', 'a', 'breather']]","[['it', 'is', 'time', 'to', 'breathe']]","['it', 'be', 'time', 'to', 'take', 'a', 'breather']","['it', 'be', 'time', 'to', 'breathe']"
I'm not leaving here until I have my thousand dollars.,I'm not leaving here till I have my thousand dollars.,Not Hallucination,0.0,i am not leaving here until i have my thousand dollars,i am not leaving here till i have my thousand dollars,['i am not leaving here until i have my thousand dollars'],['i am not leaving here till i have my thousand dollars'],"[['i', 'am', 'not', 'leaving', 'here', 'until', 'i', 'have', 'my', 'thousand', 'dollars']]","[['i', 'am', 'not', 'leaving', 'here', 'till', 'i', 'have', 'my', 'thousand', 'dollars']]","['I', 'be', 'not', 'leave', 'here', 'until', 'I', 'have', 'my', 'thousand', 'dollar']","['I', 'be', 'not', 'leave', 'here', 'till', 'I', 'have', 'my', 'thousand', 'dollar']"
B-braga.,Braga.,Hallucination,1.0,bbraga,braga,['bbraga'],['braga'],[['bbraga']],[['braga']],['bbraga'],['braga']
"Who's EIIise, huh?",Who's Elise?,Hallucination,1.0,who is eiiise huh,who is elise,['who is eiiise huh'],['who is elise'],"[['who', 'is', 'eiiise', 'huh']]","[['who', 'is', 'elise']]","['who', 'be', 'eiiise', 'huh']","['who', 'be', 'elise']"
Himmler's not at the pre-briefing.,Himmler's not at the briefing.,Hallucination,1.0,himmlers not at the prebriefing,himmlers not at the briefing,['himmlers not at the prebriefing'],['himmlers not at the briefing'],"[['himmlers', 'not', 'at', 'the', 'prebriefing']]","[['himmlers', 'not', 'at', 'the', 'briefing']]","['himmler', 'not', 'at', 'the', 'prebriefing']","['himmler', 'not', 'at', 'the', 'briefing']"
The funds are transfered.,The funds are transferred.,Hallucination,1.0,the funds are transfered,the funds are transferred,['the funds are transfered'],['the funds are transferred'],"[['the', 'funds', 'are', 'transfered']]","[['the', 'funds', 'are', 'transferred']]","['the', 'fund', 'be', 'transfer']","['the', 'fund', 'be', 'transfer']"
Ships don't just magically appear out of nowhere..,Ships don'just magically appear out of nowhere.,Hallucination,1.0,ships do not just magically appear out of nowhere,ships donjust magically appear out of nowhere,['ships do not just magically appear out of nowhere'],['ships donjust magically appear out of nowhere'],"[['ships', 'do', 'not', 'just', 'magically', 'appear', 'out', 'of', 'nowhere']]","[['ships', 'donjust', 'magically', 'appear', 'out', 'of', 'nowhere']]","['ship', 'do', 'not', 'just', 'magically', 'appear', 'out', 'of', 'nowhere']","['ship', 'donjust', 'magically', 'appear', 'out', 'of', 'nowhere']"
Nobody's on their own.,No one's on their own.,Not Hallucination,0.0,nobodys on their own,no ones on their own,['nobodys on their own'],['no ones on their own'],"[['nobodys', 'on', 'their', 'own']]","[['no', 'ones', 'on', 'their', 'own']]","['nobody', 'on', 'their', 'own']","['no', 'one', 'on', 'their', 'own']"
tyler's not here.,Tyler's not here.,Not Hallucination,0.0,tylers not here,tylers not here,['tylers not here'],['tylers not here'],"[['tylers', 'not', 'here']]","[['tylers', 'not', 'here']]","['tyler', 'not', 'here']","['tyler', 'not', 'here']"
"Hey, Soren, look.","Soren, look.",Not Hallucination,0.25,hey soren look,soren look,['hey soren look'],['soren look'],"[['hey', 'soren', 'look']]","[['soren', 'look']]","['hey', 'soren', 'look']","['soren', 'look']"
"It's a nice run-in, Kev.","It was a nice run, Kev.",Hallucination,1.0,it is a nice runin kev,it was a nice run kev,['it is a nice runin kev'],['it was a nice run kev'],"[['it', 'is', 'a', 'nice', 'runin', 'kev']]","[['it', 'was', 'a', 'nice', 'run', 'kev']]","['it', 'be', 'a', 'nice', 'runin', 'kev']","['it', 'be', 'a', 'nice', 'run', 'kev']"
How's chris?,How's Chris?,Not Hallucination,0.0,how is chris,how is chris,['how is chris'],['how is chris'],"[['how', 'is', 'chris']]","[['how', 'is', 'chris']]","['how', 'be', 'chris']","['how', 'be', 'chris']"
"You know, I've always thought that ""bludgeon"" has a spur-of-the-moment sound, you know?","I've always thought that ""bludgeon"" has a spur-of-the-moment sound.",Not Hallucination,0.25,you know i have always thought that bludgeon has a spurofthemoment sound you know,i have always thought that bludgeon has a spurofthemoment sound,['you know i have always thought that bludgeon has a spurofthemoment sound you know'],['i have always thought that bludgeon has a spurofthemoment sound'],"[['you', 'know', 'i', 'have', 'always', 'thought', 'that', 'bludgeon', 'has', 'a', 'spurofthemoment', 'sound', 'you', 'know']]","[['i', 'have', 'always', 'thought', 'that', 'bludgeon', 'has', 'a', 'spurofthemoment', 'sound']]","['you', 'know', 'I', 'have', 'always', 'think', 'that', 'bludgeon', 'have', 'a', 'spurofthemoment', 'sound', 'you', 'know']","['I', 'have', 'always', 'think', 'that', 'bludgeon', 'have', 'a', 'spurofthemoment', 'sound']"
Five Children.,Five children.,Not Hallucination,0.0,five children,five children,['five children'],['five children'],"[['five', 'children']]","[['five', 'children']]","['five', 'child']","['five', 'child']"
