hyp,tgt,label,hyp_normalized,tgt_normalized,hyp_sentences,tgt_sentences,hyp_tokens,tgt_tokens
"Don't worry, it's only temporary.",Don't worry. It's only temporary.,Not Hallucination,do not worry it is only temporary,do not worry it is only temporary,['do not worry it is only temporary'],['do not worry it is only temporary'],"[['do', 'not', 'worry', 'it', 'is', 'only', 'temporary']]","[['do', 'not', 'worry', 'it', 'is', 'only', 'temporary']]"
Tom is never where he should be.,Tom is never where he's supposed to be.,Not Hallucination,tom is never where he should be,tom is never where he is supposed to be,['tom is never where he should be'],['tom is never where he is supposed to be'],"[['tom', 'is', 'never', 'where', 'he', 'should', 'be']]","[['tom', 'is', 'never', 'where', 'he', 'is', 'supposed', 'to', 'be']]"
It's hard for me to work with Tom.,I have trouble working with Tom.,Not Hallucination,it is hard for me to work with tom,i have trouble working with tom,['it is hard for me to work with tom'],['i have trouble working with tom'],"[['it', 'is', 'hard', 'for', 'me', 'to', 'work', 'with', 'tom']]","[['i', 'have', 'trouble', 'working', 'with', 'tom']]"
"Water, please.",I'd like some water.,Hallucination,water please,i would like some water,['water please'],['i would like some water'],"[['water', 'please']]","[['i', 'would', 'like', 'some', 'water']]"
I didn't expect Tom to betray me.,I didn't think that Tom would betray me.,Not Hallucination,i did not expect tom to betray me,i did not think that tom would betray me,['i did not expect tom to betray me'],['i did not think that tom would betray me'],"[['i', 'did', 'not', 'expect', 'tom', 'to', 'betray', 'me']]","[['i', 'did', 'not', 'think', 'that', 'tom', 'would', 'betray', 'me']]"
It's not as bad as Tom thinks.,Things aren't as bad as Tom thinks.,Not Hallucination,it is not as bad as tom thinks,things are not as bad as tom thinks,['it is not as bad as tom thinks'],['things are not as bad as tom thinks'],"[['it', 'is', 'not', 'as', 'bad', 'as', 'tom', 'thinks']]","[['things', 'are', 'not', 'as', 'bad', 'as', 'tom', 'thinks']]"
Don't complicate it.,Keep it simple.,Hallucination,do not complicate it,keep it simple,['do not complicate it'],['keep it simple'],"[['do', 'not', 'complicate', 'it']]","[['keep', 'it', 'simple']]"
Why can't you accept me as I am?,Why can't you accept me as I am?,Not Hallucination,why cannot you accept me as i am,why cannot you accept me as i am,['why cannot you accept me as i am'],['why cannot you accept me as i am'],"[['why', 'can', 'not', 'you', 'accept', 'me', 'as', 'i', 'am']]","[['why', 'can', 'not', 'you', 'accept', 'me', 'as', 'i', 'am']]"
I hate this place.,I hate this place.,Not Hallucination,i hate this place,i hate this place,['i hate this place'],['i hate this place'],"[['i', 'hate', 'this', 'place']]","[['i', 'hate', 'this', 'place']]"
Tom is here as a volunteer.,Tom is there as a volunteer.,Not Hallucination,tom is here as a volunteer,tom is there as a volunteer,['tom is here as a volunteer'],['tom is there as a volunteer'],"[['tom', 'is', 'here', 'as', 'a', 'volunteer']]","[['tom', 'is', 'there', 'as', 'a', 'volunteer']]"
Can I have one too?,"Can I have one, too?",Not Hallucination,can i have one too,can i have one too,['can i have one too'],['can i have one too'],"[['can', 'i', 'have', 'one', 'too']]","[['can', 'i', 'have', 'one', 'too']]"
You're different in life than in a picture.,You look different than your picture.,Hallucination,you are different in life than in a picture,you look different than your picture,['you are different in life than in a picture'],['you look different than your picture'],"[['you', 'are', 'different', 'in', 'life', 'than', 'in', 'a', 'picture']]","[['you', 'look', 'different', 'than', 'your', 'picture']]"
